Date,GOOG,AMZN,AMD,META,INTC,AAPL,NVDA,MSFT
2020-10-22,80,158,79,278,49,113,133,209
2020-10-23,82,160,81,284,43,112,135,210
2020-10-26,79,160,82,277,42,113,131,204
2020-10-27,80,164,78,283,41,114,133,207
2020-10-28,75,158,76,267,40,109,125,197
2020-10-29,78,160,78,280,40,113,129,199
2020-10-30,81,151,75,263,40,106,125,197
2020-11-02,81,150,74,261,40,106,125,196
2020-11-03,82,152,76,265,40,108,129,200
2020-11-04,87,162,81,287,41,112,137,210
2020-11-05,88,166,83,294,41,116,141,217
2020-11-06,88,165,85,293,41,116,145,217
2020-11-09,88,157,83,278,41,114,135,212
2020-11-10,87,151,77,272,41,114,127,205
2020-11-11,87,156,81,276,42,117,133,210
2020-11-12,87,155,81,275,41,117,134,209
2020-11-13,88,156,81,276,41,117,132,210
2020-11-16,89,156,83,278,42,118,134,211
2020-11-17,88,156,83,275,41,117,133,208
2020-11-18,87,155,82,271,41,116,133,205
2020-11-19,88,155,85,272,41,116,134,207
2020-11-20,87,154,84,269,41,115,130,205
2020-11-23,86,154,85,268,42,112,131,205
2020-11-24,88,155,85,276,43,113,129,208
2020-11-25,88,159,86,275,43,114,132,208
2020-11-27,89,159,87,277,43,114,132,210
2020-11-30,88,158,92,276,44,117,133,208
2020-12-01,89,161,92,286,45,120,133,210
2020-12-02,91,160,93,287,45,121,135,210
2020-12-03,91,159,92,281,46,120,133,209
2020-12-04,91,158,94,279,47,120,135,209
2020-12-07,90,157,94,285,46,121,135,209
2020-12-08,90,158,92,283,46,122,133,210
2020-12-09,89,155,89,277,46,119,129,206
2020-12-10,88,155,91,277,46,121,129,205
2020-12-11,89,155,91,273,45,120,129,208
2020-12-14,88,157,94,274,46,119,132,209
2020-12-15,88,158,97,275,46,125,133,208
2020-12-16,88,162,96,275,46,125,132,213
2020-12-17,87,161,96,274,46,126,133,214
2020-12-18,86,160,95,276,43,124,132,213
2020-12-21,86,160,93,272,42,126,133,217
2020-12-22,86,160,93,267,42,129,132,218
2020-12-23,86,159,91,268,42,128,129,215
2020-12-24,86,158,91,267,43,129,129,217
2020-12-28,88,164,91,277,43,134,128,219
2020-12-29,87,166,90,276,45,132,129,218
2020-12-30,86,164,92,271,44,131,131,216
2020-12-31,87,162,91,273,45,130,130,217
2021-01-04,86,159,92,268,45,127,130,212
2021-01-05,87,160,92,270,46,128,133,212
2021-01-06,86,156,90,263,46,124,125,207
2021-01-07,89,158,95,268,47,128,133,213
2021-01-08,90,159,94,267,47,129,132,214
2021-01-11,88,155,97,256,47,126,135,212
2021-01-12,87,156,95,251,48,126,134,209
2021-01-13,87,158,91,251,52,128,135,211
2021-01-14,87,156,90,245,54,126,131,207
2021-01-15,86,155,88,251,52,125,128,207
2021-01-19,89,156,89,261,53,125,129,211
2021-01-20,94,163,88,267,53,129,133,218
2021-01-21,94,165,91,272,57,134,138,219
2021-01-22,95,164,92,274,52,136,136,220
2021-01-25,94,164,94,278,50,140,136,223
2021-01-26,95,166,94,282,50,140,134,226
2021-01-27,91,161,88,272,49,139,128,227
2021-01-28,93,161,87,265,51,134,130,233
2021-01-29,91,160,85,258,51,129,129,226
2021-02-01,95,167,87,262,52,131,132,233
2021-02-02,96,169,88,267,53,132,135,233
2021-02-03,103,165,87,266,53,131,135,237
2021-02-04,103,166,87,266,54,135,136,236
2021-02-05,104,167,87,268,53,134,135,236
2021-02-08,104,166,91,266,54,134,144,236
2021-02-09,104,165,90,269,54,134,142,237
2021-02-10,104,164,92,271,54,133,147,236
2021-02-11,104,163,92,270,56,133,152,238
2021-02-12,105,163,93,270,57,133,149,239
2021-02-16,106,163,91,273,57,131,152,237
2021-02-17,106,165,89,273,57,128,148,238
2021-02-18,105,166,88,269,56,127,147,238
2021-02-19,105,162,89,261,58,127,148,235
2021-02-22,103,159,85,260,56,124,143,229
2021-02-23,103,159,84,265,56,124,141,228
2021-02-24,104,157,86,264,58,123,144,229
2021-02-25,101,152,82,254,55,119,132,223
2021-02-26,101,154,84,257,56,119,136,227
2021-03-01,104,157,86,264,58,125,138,231
2021-03-02,103,154,84,259,56,123,133,228
2021-03-03,101,150,80,255,55,120,127,222
2021-03-04,102,148,77,257,53,118,123,221
2021-03-05,105,150,78,264,56,119,124,226
2021-03-08,101,147,73,255,55,114,115,222
2021-03-09,102,153,78,265,57,119,124,228
2021-03-10,102,152,77,264,57,118,124,227
2021-03-11,105,155,81,273,58,120,129,231
2021-03-12,103,154,81,268,58,119,128,230
2021-03-15,103,154,82,273,58,122,131,229
2021-03-16,104,154,82,279,59,123,132,232
2021-03-17,104,156,82,284,60,122,133,231
2021-03-18,101,151,78,278,58,118,126,225
2021-03-19,102,153,79,290,58,118,128,225
2021-03-22,101,155,80,293,60,121,131,230
2021-03-23,102,156,78,290,58,120,130,232
2021-03-24,102,154,76,282,57,118,126,230
2021-03-25,102,152,76,278,57,118,125,227
2021-03-26,101,152,77,283,59,119,128,231
2021-03-29,102,153,77,290,59,119,129,230
2021-03-30,102,152,76,288,58,118,128,226
2021-03-31,103,154,78,294,59,120,133,230
2021-04-01,106,158,81,298,59,121,137,237
2021-04-05,111,161,81,308,61,124,139,243
2021-04-06,111,161,81,306,60,124,138,242
2021-04-07,112,163,82,313,61,126,141,244
2021-04-08,113,164,83,313,62,128,142,247
2021-04-09,114,168,82,312,63,131,143,250
2021-04-12,112,168,78,311,60,129,151,250
2021-04-13,113,170,80,309,60,132,156,252
2021-04-14,112,166,78,302,59,130,152,249
2021-04-15,114,168,83,307,60,132,161,253
2021-04-16,114,169,82,306,59,132,158,255
2021-04-19,115,168,81,302,58,132,153,253
2021-04-20,114,166,79,302,57,131,151,252
2021-04-21,114,168,81,301,58,131,153,254
2021-04-22,113,165,79,296,57,130,148,251
2021-04-23,115,167,82,301,54,132,152,255
2021-04-26,116,170,85,303,54,132,154,255
2021-04-27,115,170,85,303,53,132,153,256
2021-04-28,118,172,84,307,53,131,152,248
2021-04-29,121,173,83,329,53,131,152,246
2021-04-30,120,173,81,325,53,129,149,246
2021-05-03,119,169,78,322,52,130,148,246
2021-05-04,117,165,78,318,52,125,143,242
2021-05-05,117,163,77,315,52,126,144,241
2021-05-06,119,165,77,320,53,127,144,244
2021-05-07,119,164,78,319,53,128,147,246
2021-05-10,117,159,75,305,52,125,142,241
2021-05-11,115,161,76,306,51,124,142,240
2021-05-12,111,157,74,302,49,121,137,233
2021-05-13,113,158,73,305,50,123,136,237
2021-05-14,115,161,74,315,51,125,142,242
2021-05-17,116,163,74,315,51,124,141,239
2021-05-18,115,161,74,309,51,123,139,237
2021-05-19,115,161,76,313,51,123,140,238
2021-05-20,117,162,78,318,52,125,145,241
2021-05-21,117,160,77,316,52,123,149,240
2021-05-24,120,162,77,324,52,125,155,245
2021-05-25,120,162,77,327,52,125,156,246
2021-05-26,121,163,78,327,52,125,156,246
2021-05-27,120,161,78,332,53,123,154,244
2021-05-28,120,161,80,328,53,123,162,244
2021-06-01,121,160,80,329,52,122,162,242
2021-06-02,121,161,81,329,53,123,167,242
2021-06-03,120,159,80,326,52,121,169,240
2021-06-04,122,160,81,330,53,124,175,245
2021-06-07,123,159,81,336,53,124,175,248
2021-06-08,124,163,80,333,53,125,174,247
2021-06-09,124,164,79,330,53,125,173,248
2021-06-10,126,167,81,332,53,124,173,252
